Arrecadação Mensal por Código de GRU

Páginas:
Ano Lançamento: 2025


"Mês Lançamento"	"Conta Contábil"		"724210100"
 	 		"= ARRECADACAO LIQUIDA POR COD DE RECOLHIMENTO"
 	"Cód. Recolhimento GRU"		"Movim. Líquido - Moeda Origem (Conta Contábil)"
"JAN/2025"	"18806"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE000"	"4.406,06"
"JAN/2025"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"5.516.500,00"
"JAN/2025"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"16.197,48"
"JAN/2025"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"4.089.334,76"
"JAN/2025"	"28881"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE PROP"	"1.490,13"
"JAN/2025"	"28886"	"OUTRAS RECEITAS PROPRIAS"	"337,54"
"JAN/2025"	"80105"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.NAO AJ"	"96.910.020,82"
"JAN/2025"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"3.461.247,43"
"JAN/2025"	"98815"	"DEPOSITOS DE TERCEIROS"	"212.620,00"
"JAN/2025"	"Total"		"110.212.154,22"
"FEV/2025"	"18806"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE000"	"5.207,42"
"FEV/2025"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"5.100.000,00"
"FEV/2025"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"48.051,48"
"FEV/2025"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"1.940.607,83"
"FEV/2025"	"28881"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE PROP"	"1.038,76"
"FEV/2025"	"28886"	"OUTRAS RECEITAS PROPRIAS"	"24.754,90"
"FEV/2025"	"68806"	"DEVOLUCAO DE SALARIOS"	"564,42"
"FEV/2025"	"80105"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.NAO AJ"	"40.713.135,87"
"FEV/2025"	"80106"	"PGF/RDA/SDE-MLT.PREV.LEGIS.DEF.DIR.DIF.AJUIZA"	"3.095.812,28"
"FEV/2025"	"98815"	"DEPOSITOS DE TERCEIROS"	"85.000,00"
"FEV/2025"	"Total"		"51.014.172,96"
"MAR/2025"	"18806"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE000"	"2.204,72"
"MAR/2025"	"20039"	"CADE-EMOLUM.E CUSTAS PROC.ADMINISTRATIVOS"	"2.805.000,00"
"MAR/2025"	"20040"	"CADE/EMOLUM. E CUSTAS DECORRENTES CONSULTAS"	"1.403,48"
"MAR/2025"	"20080"	"SDE-MLT.PREVISTAS LEGISL.DEFESA DIR.DIFUSOS"	"1.023.209,78"
"MAR/2025"	"28875"	"REC. COPIAS REPROGRAFICAS"	"2,64"
"MAR/2025"	"28881"	"RECUP.DESP.PRIMARIA EXERC.ANTERIORES FTE PROP"	"425,00"
"MAR/2025"	"28886"	"OUTRAS RECEITAS PROPRIAS"	"15,89"
